iter	RMSE
0	1734435.479
1	1703322.312
2	1679555.342
3	1652307.121
4	1627161.648
5	1599563.6
6	1575997.851
7	1553158.546
8	1528240.319
9	1508134.814
10	1486954.736
11	1465380.381
12	1444183.624
13	1423527.402
14	1406576.062
15	1391260.354
16	1375948.731
17	1360609.019
18	1344767.483
19	1331171.44
20	1318090.14
21	1304785.505
22	1288772.334
23	1276761.836
24	1264386.093
25	1250205.405
26	1236115.573
27	1224396.03
28	1212483.219
29	1202194.572
30	1190677.996
31	1182917.931
32	1173425.583
33	1164828.254
34	1155976.335
35	1147934.5
36	1137884.785
37	1129667.075
38	1118831.787
39	1111220.302
40	1102599.045
41	1094966.772
42	1087599.49
43	1080532.626
44	1073216.691
45	1068201.217
46	1061098.002
47	1054515.079
48	1048392.487
49	1041583.769
50	1036706.658
51	1029589.784
52	1024301.97
53	1019757.548
54	1014804.301
55	1009946.168
56	1004857.976
57	1001775.548
58	997221.1239
59	990952.679
60	984779.989
61	980021.2469
62	975366.9013
63	969755.3245
64	966338.3818
65	964883.4678
66	962715.6141
67	957650.2062
68	953568.1081
69	949543.9121
70	947257.89
71	944493.9563
72	940626.4592
73	936117.8262
74	933003.4296
75	928754.47
76	926105.1709
77	923362.6101
78	920293.0084
79	917764.3043
80	915765.0195
81	912943.2511
82	908654.6399
83	904629.7284
84	902386.158
85	899324.4317
86	896534.3767
87	893662.6111
88	889934.962
89	886604.3468
90	884982.3239
91	881892.8981
92	880236.8779
93	878295.9421
94	876765.4348
95	873989.9218
96	871508.0878
97	868425.4246
98	867095.2495
99	864544.6988
100	862427.3257
101	860607.6071
102	857761.7821
103	854244.861
104	850543.5744
105	849506.804
106	846818.4893
107	843635.196
108	841480.5945
109	838512.8809
110	835641.8426
111	834548.3334
112	833205.845
113	831030.7308
114	828038.2355
115	825508.4087
116	824343.936
117	823024.2371
118	821038.3086
119	819066.7573
120	816854.2012
121	815042.5156
122	812510.4103
123	810037.3397
124	809250.0179
125	808460.6976
126	808023.4598
127	804795.9805
128	803946.355
129	802669.1309
130	802094.0713
131	800297.0768
132	799229.2945
133	798860.3192
134	798338.1549
135	797837.0857
136	794947.5524
137	794661.781
138	794047.3172
139	791659.8699
140	789600.0594
141	787883.4615
142	786601.2377
143	786135.9023
144	784467.2831
145	781214.9159
146	779255.9168
147	777864.8735
148	777070.0063
149	776458.8985
150	774480.3333
151	773631.3292
152	773132.6562
153	772333.5707
154	770869.8763
155	768557.486
156	767033.7409
157	765690.4074
158	763505.825
159	760694.2976
160	759682.7266
161	758410.6152
162	756403.986
163	755222.6512
164	753709.7443
165	752780.0377
166	751746.4355
167	750405.252
168	750033.0904
169	748676.6729
170	746949.922
171	745341.0963
172	744907.7266
173	743686.3223
174	742392.4608
175	741143.1352
176	740256.0028
177	739014.2871
178	738042.5391
179	736440.3992
180	734911.7142
181	734244.9474
182	732591.6003
183	731194.6696
184	730449.7198
185	729883.8052
186	728396.2999
187	726033.6626
188	723341.368
189	721529.894
190	720966.5767
191	720648.6094
192	719625.1897
193	719164.0137
194	716853.8764
