iter	Passed	Remaining
0	378	377664
1	379	189262
2	380	126393
3	380	94838
4	381	75970
5	383	63467
6	384	54514
7	385	47782
8	387	42672
9	388	38475
10	389	35006
11	390	32148
12	392	29769
13	393	27684
14	394	25881
15	395	24327
16	397	22958
17	398	21715
18	398	20599
19	399	19589
20	400	18682
21	402	17871
22	411	17493
23	412	16767
24	413	16117
25	417	15625
26	418	15078
27	419	14564
28	420	14077
29	421	13628
30	422	13209
31	423	12810
32	424	12440
33	425	12084
34	426	11745
35	426	11422
36	427	11130
37	428	10853
38	429	10585
39	430	10328
40	431	10082
41	431	9851
42	432	9630
43	433	9427
44	435	9235
45	436	9062
46	437	8878
47	438	8700
48	439	8528
49	440	8368
50	441	8212
51	443	8078
52	443	7932
53	444	7793
54	446	7664
55	447	7539
56	448	7418
57	449	7293
58	449	7176
59	450	7060
60	451	6949
61	452	6846
62	453	6744
63	454	6647
64	455	6550
65	455	6448
66	455	6348
67	456	6262
68	457	6178
69	459	6098
70	459	6011
71	460	5931
72	461	5855
73	461	5778
74	462	5705
75	463	5633
76	464	5563
77	465	5499
78	466	5438
79	467	5376
80	468	5311
81	468	5249
82	469	5190
83	470	5133
84	471	5078
85	472	5023
86	473	4971
87	474	4917
88	475	4866
89	476	4814
90	477	4768
91	478	4718
92	478	4670
93	479	4624
94	480	4578
95	481	4532
96	482	4487
97	483	4446
98	484	4406
99	485	4367
100	486	4326
101	486	4285
102	487	4245
103	488	4206
104	489	4170
105	490	4134
106	491	4101
107	492	4065
108	493	4030
109	493	3994
110	494	3959
111	495	3927
112	496	3896
113	497	3863
114	498	3834
115	499	3803
116	499	3772
117	500	3741
118	501	3711
119	502	3684
120	503	3657
121	504	3629
122	505	3601
123	505	3574
124	506	3546
125	507	3520
126	508	3492
127	508	3467
128	510	3445
129	511	3420
130	511	3392
131	512	3368
132	513	3344
133	513	3318
134	514	3295
135	515	3272
136	515	3250
137	516	3228
138	517	3204
139	518	3182
140	518	3160
141	519	3140
142	520	3121
143	521	3099
144	522	3080
145	523	3060
146	523	3040
147	524	3019
148	525	3000
149	526	2981
150	527	2963
151	527	2943
152	528	2923
153	528	2904
154	529	2886
155	530	2868
156	531	2851
157	531	2833
158	532	2817
159	533	2801
160	535	2790
161	536	2774
162	537	2757
163	537	2740
164	538	2726
165	540	2713
166	540	2698
167	541	2682
168	542	2665
169	542	2650
170	543	2635
171	544	2620
172	544	2603
173	545	2590
174	546	2577
175	547	2563
176	548	2548
177	548	2534
178	549	2520
179	550	2506
180	551	2494
181	552	2482
182	553	2468
183	553	2455
184	554	2442
185	555	2430
186	556	2418
187	557	2405
188	558	2395
189	559	2383
190	559	2371
191	560	2358
192	561	2347
193	561	2334
194	562	2322
195	563	2312
196	564	2301
197	565	2291
198	566	2279
199	567	2268
200	567	2257
201	568	2246
202	569	2235
203	570	2225
204	571	2215
205	572	2205
206	572	2194
207	573	2183
208	574	2173
209	575	2163
210	575	2153
211	576	2144
212	577	2134
213	578	2124
214	579	2114
215	580	2105
216	580	2095
217	581	2086
218	582	2078
219	583	2069
220	584	2060
221	585	2051
222	586	2042
223	586	2032
224	587	2023
225	588	2015
226	589	2006
227	590	1998
228	591	1990
229	591	1981
230	592	1973
231	593	1964
232	594	1955
233	595	1948
234	596	1940
235	596	1932
236	597	1923
237	598	1915
238	598	1907
239	599	1899
240	600	1891
241	601	1883
242	602	1876
243	603	1868
244	603	1860
245	604	1852
246	605	1845
247	606	1837
248	606	1829
249	607	1822
250	608	1815
251	609	1808
252	609	1800
253	610	1793
254	611	1785
255	611	1778
256	612	1771
257	613	1764
258	614	1757
259	615	1750
260	615	1743
261	616	1736
262	617	1729
263	618	1723
264	618	1716
265	619	1710
266	620	1704
267	622	1698
268	622	1692
269	624	1687
270	624	1681
271	625	1674
272	626	1668
273	627	1662
274	629	1658
275	630	1654
276	631	1647
277	632	1641
278	632	1635
279	633	1629
280	634	1623
281	635	1619
282	637	1614
283	637	1608
284	638	1602
285	639	1596
286	640	1591
287	641	1586
288	643	1582
289	644	1576
290	644	1571
291	645	1565
292	646	1560
293	648	1556
294	649	1552
295	650	1546
296	650	1540
297	651	1535
298	652	1530
299	653	1525
300	655	1521
301	656	1516
302	657	1511
303	658	1506
304	659	1502
305	660	1497
306	660	1491
307	661	1486
308	662	1481
309	663	1475
310	663	1470
311	664	1466
312	665	1460
313	666	1456
314	667	1451
315	668	1446
316	668	1441
317	669	1436
318	670	1431
319	671	1427
320	672	1422
321	673	1418
322	674	1413
323	675	1408
324	676	1404
325	676	1399
326	678	1395
327	678	1390
328	679	1386
329	680	1382
330	681	1377
331	682	1373
332	683	1368
333	684	1364
334	685	1360
335	686	1356
336	687	1351
337	687	1347
338	688	1343
339	689	1338
340	690	1334
341	691	1331
